kill,stamp_out
kill,kill
kill,kill
kill,kill
kill,kill
kill,kill
kill,obliterate
kill,wipe_out
kill,toss_off
kill,pop
kill,bolt_down
kill,belt_down
kill,pour_down
kill,down
kill,drink_down
kill,kill
kill,kill
kill,kill
kill,kill
kill,kill
kill,kill
kill,kill
kill,kill
kill,kill
kill,shoot_down
kill,defeat
kill,vote_down
kill,vote_out
kill,kill
shoot,inject
shoot,shoot
shoot,shoot
shoot,spud
shoot,germinate
shoot,pullulate
shoot,bourgeon
shoot,burgeon_forth
shoot,sprout
shoot,shoot
shoot,shoot
shoot,film
shoot,shoot
shoot,take
shoot,photograph
shoot,snap
shoot,shoot
shoot,shoot
shoot,blast
shoot,shoot
shoot,shoot
shoot,hit
shoot,pip
shoot,fritter
shoot,frivol_away
shoot,dissipate
shoot,shoot
shoot,fritter_away
shoot,fool
shoot,fool_away
shoot,shoot
shoot,shoot
shoot,inject
shoot,shoot
shoot,shoot
shoot,tear
shoot,shoot
shoot,shoot_down
shoot,charge
shoot,buck
shoot,dart
shoot,dash
shoot,scoot
shoot,scud
shoot,flash
shoot,shoot
shoot,shoot
shoot,shoot
shoot,shoot
shoot,pip
shoot,shoot
fire,fire
fire,burn
fire,fire
fire,burn_down
fire,fire
fire,discharge
fire,fire
fire,discharge
fire,go_off
fire,open_fire
fire,fire
fire,arouse
fire,elicit
fire,enkindle
fire,kindle
fire,evoke
fire,fire
fire,raise
fire,provoke
fire,fire
fire,fuel
fire,fire
fire,displace
fire,fire
fire,give_notice
fire,can
fire,dismiss
fire,give_the_axe
fire,send_away
fire,sack
fire,force_out
fire,give_the_sack
fire,terminate
burn,sunburn
burn,burn
burn,burn
burn,cauterize
burn,cauterise
burn,burn
burn,burn
burn,combust
burn,burn
burn,incinerate
burn,burn_off
burn,burn
burn,burn_up
burn,cut
burn,burn
burn,burn
burn,bite
burn,sting
burn,burn
burn,burn
burn,burn
burn,burn
burn,burn
burn,combust
burn,burn
burn,glow
kick,complain
kick,kick
kick,plain
kick,sound_off
kick,quetch
kick,kvetch
kick,kick
kick,kick
kick,give_up
kick,kick
kick,kick_back
kick,recoil
kick,kick
kick,kick
kick,kick
kick,kick
gun,gun
punch,punch
punch,plug
punch,punch
punch,perforate
punch,punch
hit,hit
hit,score
hit,hit
hit,tally
hit,rack_up
hit,strike
hit,hit
hit,hit
hit,hit
hit,hit
hit,strike
hit,strike
hit,hit
hit,hit
hit,strike
hit,impinge_on
hit,run_into
hit,collide_with
hit,hit
hit,hit
hit,reach
hit,hit
hit,attain
hit,reach
hit,make
hit,attain
hit,hit
hit,arrive_at
hit,gain
hit,hit
hit,strike
hit,hit
hit,strike
hit,come_to
hit,stumble
hit,hit
hit,murder
hit,slay
hit,hit
hit,dispatch
hit,bump_off
hit,off
hit,polish_off
hit,remove
destroy,demolish
destroy,destroy
destroy,destroy
destroy,put_down
destroy,destroy
destroy,ruin
destroy,destroy
destroy,destruct
murder,mangle
